Prompt,Gst launch pipeline
Generate a GStreamer pipeline to convert BGR10A2_LE to NV12 and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=NV12,width=1280,height=720' ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to P010_10LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=P010_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to I420_12LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to BGRx and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGRx,width=1280,height=720' ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to RGBA and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGBA,width=1280,height=720' ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to Y444 and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to Y444_10LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to Y444_12LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to GRAY8 and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GRAY8,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to GBR and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GBR,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to RGB and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGB,width=1280,height=720' ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to BGR and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR,width=1280,height=720' ! nveglglessink"
Generate a GStreamer pipeline to convert BGR10A2_LE to UYVP and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=UYVP,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert I420 to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=I420, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to decode a 10-bit YUV444p H.265 video file and convert to BGR10A2_LE and display it,"gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert NV12 to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=NV12, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to decode a 12-bit P016LE H.265 video file and convert to BGR10A2_LE and display it,"gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGRx to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGRx, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert RGBA to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGBA, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert Y444 to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=Y444, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert GRAY8 to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GRAY8, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert GBR to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GBR, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert RGB to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGB, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGR to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert UYVP to BGR10A2_LE and display it,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=UYVP, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit h265 video file, convert it to I420 format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to NV12 format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=NV12,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to P010_10LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=P010_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to I420_12LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit h265 video, convert it to BGRx format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGRx,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a H265 video file, convert it to RGBA format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGBA,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit YUV444p H265 video, convert it to Y444 format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit YUV444p H265 video, convert it to Y444_10LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit YUV444P H265 video, convert it to Y444_12LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a H265 video file, convert it to grayscale, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GRAY8,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to GBR format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GBR,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a H265 video, convert it to RGB format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGB,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit h265 video, convert it to BGR format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit h265 video, convert it to UYVP format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_10bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=UYVP,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert I420 to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=I420, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert NV12 to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=NV12, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert P010_10LE to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=P010_10LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit YUV444p H265 video, convert it to RGBA format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert BGRx to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGRx, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert RGBA to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGBA, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert Y444 to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=Y444, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert a GRAY8 video to Y444_10LE format and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GRAY8, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert GBR to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GBR, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert RGB to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGB, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a GStreamer pipeline to convert BGR to Y444_10LE, then display the output.","gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert UYVP to Y444_10LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=UYVP, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a gstreamer pipeline to decode a 1080p H265 video file and display the output.,"gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to NV12 format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=NV12,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to P010_10LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=P010_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to I420_12LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to BGRx format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGRx,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to RGBA format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGBA,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to Y444 format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to Y444_10LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 12-bit H265 video, convert it to Y444_12LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a H265 video file, convert it to grayscale, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GRAY8,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a H265 video, convert it to GBR format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GBR,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
